"CONSEC","CAPITULO","CVE_PROC","DESCRIP","PRO_CVE_EDIA","PRO_EDAD_IA","PRO_CVE_EDFA","PRO_EDAD_FA","SEXO","PROCED","PRO_PRINCIPAL"
"196","00","00M2","TERAPIA Y REEDUCACIÓN DE LA VOZ Y DEGLUCIÓN PARA PERSONAS CON CONDICIÓN DE SALUD DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"197","00","00M3","TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, CON SINTOMAS AUDITIVOS","0","0","0","0","0","T","T"
"198","00","00M4","TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, CON SINTOMAS VESTIBULARES","0","0","0","0","0","T","T"
"199","00","00M5","TERAPIA DE MOVIMIENTO Y PATRONES DE COORDINACIÓN MOTORA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"200","00","00M6","TERAPIA Y ENTRENAMIENTO DE LAS ACTIVIDADES DE LA VIDA DIARIA BÁSICAS E INSTRUMENTALES A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"201","00","00M7","TERAPIA DE EJERCICIOS FÍSICOS PARA REHABILITACIÓN A PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"202","00","00M8","OTRAS TERAPIAS PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"203","00","00M9","TERAPIA PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADA","0","0","0","0","0","T","T"
"204","00","00N","MÉTODOS DE REHABILITACIÓN DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","","F"
"205","00","00N1","ENTRENAMIENTO DE LOS MÚSCULOS INSPIRATORIOS PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"206","00","00N2","ESTIMULACIÓN ELÉCTRICA NEUROMUSCULAR PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"207","00","00N3","ASESORAMIENTO PSICOSOCIAL PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"208","00","00N4","EVALUACIÓN NUTRICIONAL Y ASESORAMIENTO PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"209","00","00N5","PROGRAMA DE ENSEÑANZA PARA REALIZAR EN CASA TERAPIA DE REHABILITACIÓN PARA PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"210","00","00N6","ENTRENAMIENTO Y CAPACITACIÓN A FAMILIARES O CUIDADOR DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"211","00","00N7","ESTIMULACIÓN DE LA SENSO-PERCEPCIÓN Y LA PROPIOCEPCIÓN PARA LAS PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"212","00","00N8","OTROS MÉTODOS PARA REHABILITACIÓN EN PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19","0","0","0","0","0","T","T"
"213","00","00N9","MÉTODOS DE REHABILITACIÓN DE PERSONAS CON CONDICIÓN DE SALUD POSTERIOR A COVID-19, NO ESPECIFICADOS","0","0","0","0","0","T","T"
"214","01","00","OPERACIONES SOBRE EL SISTEMA NERVIOSO (01- 05)","0","0","0","0","0","",""
"215","01","01","INCISIÓN Y EXCISIÓN DE CRÁNEO, CEREBRO Y MENINGES CEREBRALES","0","0","0","0","0","",""
"216","01","010","PUNCIÓN CRANEAL","0","0","0","0","0","","F"
"217","01","0101","PUNCIÓN CISTERNAL","0","0","0","0","0","Q","F"
